text,level,conf,height
,1,-1.0,665
,2,-1.0,41
,3,-1.0,41
,4,-1.0,17
Domenic,5,92.663429,17
A.Ciraulo,5,92.585503,17
,4,-1.0,17
Richard,5,90.810043,17
Irwin,5,90.810043,17
Shader,5,93.474792,17
Editors,5,93.474792,17
,2,-1.0,60
,3,-1.0,60
,4,-1.0,60
Pharmacotherapy,5,96.805061,60
,2,-1.0,186
,3,-1.0,186
,4,-1.0,186
 ,5,95.0,186
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Second,5,95.804268,17
Edition,5,95.883827,17
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
3,5,28.320724,22
Humana,5,92.093483,14
Press,5,92.093483,14
