text,level,conf,height
,1,-1.0,591
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
Philosophy,5,96.296982,24
and,5,96.996208,17
Biodiversity,5,96.294579,24
,2,-1.0,28
,3,-1.0,28
,4,-1.0,8
Eaited,5,41.129143,8
by,5,96.9561,28
,4,-1.0,9
MARKKU,5,91.236664,9
OKSANEN,5,87.772621,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
Urine,5,23.780319,6
Kap,5,32.174286,8
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
JUHANI,5,85.4533,9
PIETARINEN,5,84.431618,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
rier,5,17.488167,6
of,5,41.764442,8
Tk,5,63.70274,6
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
UNIVERSITY,5,77.2052,6
PRESS,5,85.870575,7
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
BH,5,18.07679,37
Gaveapse,5,0.0,14
