text,level,conf,height
,1,-1.0,1030
,2,-1.0,33
,3,-1.0,33
,4,-1.0,13
Searchable,5,96.335175,13
Full,5,95.235428,13
,4,-1.0,24
Activate,5,95.99099,16
at,5,92.626328,15
expertconsult.com,5,91.72406,18
Text,5,96.409348,12
Online,5,96.377899,13
,2,-1.0,154
,3,-1.0,154
,4,-1.0,154
 ,5,95.0,154
,2,-1.0,188
,3,-1.0,188
,4,-1.0,57
PHYSICAL,5,96.781006,57
,4,-1.0,57
MEDICINE,5,93.290024,57
&,5,93.104134,56
,4,-1.0,56
REHABILITATION,5,96.060051,56
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,482
,3,-1.0,482
,4,-1.0,138
     ,5,95.0,138
,4,-1.0,344
  ,5,95.0,344
,2,-1.0,72
,3,-1.0,72
,4,-1.0,72
 ,5,95.0,72
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
Randall,5,95.928825,31
,2,-1.0,3
,3,-1.0,3
,4,-1.0,3
 ,5,95.0,3
,2,-1.0,186
,3,-1.0,186
,4,-1.0,108
  ,5,95.0,108
,4,-1.0,78
   ,5,95.0,78
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
L.,5,93.052277,30
Braddom,5,91.752869,31
,2,-1.0,68
,3,-1.0,68
,4,-1.0,10
ASSOCIATE,5,67.535797,10
EDITORS,5,93.992813,10
,4,-1.0,18
Leighton,5,96.442009,17
Chan,5,96.902512,15
,4,-1.0,14
Mark,5,96.229584,14
A.,5,93.304016,14
Harrast,5,88.964088,14
,2,-1.0,105
,3,-1.0,105
,4,-1.0,15
Karen,5,96.930885,14
J.,5,93.289673,14
Kowalske,5,93.172028,15
,4,-1.0,15
Dennis,5,96.801628,15
J.,5,93.771355,14
Matthews,5,93.771355,15
,4,-1.0,18
Kristjan,5,93.30368,18
T.,5,88.481941,14
Ragnarsson,5,91.389107,17
,4,-1.0,18
Kathryn,5,96.448692,18
A.,5,96.448692,14
Stolp,5,88.105087,18
