text,level,conf,height
,1,-1.0,666
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
PHY,5,61.276821,29
TOCHEMICALS,5,61.276821,30
IN,5,96.804886,30
,2,-1.0,365
,3,-1.0,365
,4,-1.0,365
 ,5,95.0,365
,2,-1.0,117
,3,-1.0,117
,4,-1.0,19
Edited,5,96.907333,14
by,5,95.47757,19
,4,-1.0,20
Mark,5,93.290276,20
S.,5,89.99202,19
Meskin,5,92.830826,20
,4,-1.0,26
Wayne,5,93.261253,24
R.,5,92.713974,18
Bidlack,5,92.713974,20
,4,-1.0,21
Audra,5,96.345711,20
J.,5,89.58989,19
Davies,5,96.945457,19
,4,-1.0,26
Stanley,5,93.279518,26
T.,5,91.170303,18
Omaye,5,91.379005,24
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
Cs),5,9.831818,45
CRC,5,96.564743,11
PRESS,5,96.821533,11
