text,level,conf,height
,1,-1.0,594
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
POCKET,5,95.481812,17
GUIDE,5,80.743973,17
TO,5,80.743973,17
,2,-1.0,102
,3,-1.0,102
,4,-1.0,38
Musculoskeletal,5,96.508148,38
,4,-1.0,48
Diagnosis,5,96.443703,48
,2,-1.0,82
,3,-1.0,82
,4,-1.0,82
 ,5,95.0,82
,2,-1.0,83
,3,-1.0,83
,4,-1.0,83
 ,5,95.0,83
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Grant,5,96.94664,23
"Cooper,",5,96.83992,30
mp,5,92.638145,15
,2,-1.0,76
,3,-1.0,76
,4,-1.0,76
 ,5,95.0,76
,2,-1.0,156
,3,-1.0,156
,4,-1.0,156
 ,5,95.0,156
,2,-1.0,150
,3,-1.0,150
,4,-1.0,150
 ,5,95.0,150
,2,-1.0,78
,3,-1.0,78
,4,-1.0,78
 ,5,95.0,78
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
 ,5,95.0,16
,2,-1.0,253
,3,-1.0,253
,4,-1.0,253
 ,5,95.0,253
,2,-1.0,67
,3,-1.0,67
,4,-1.0,67
 ,5,95.0,67
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
3K,5,78.932571,35
Humana,5,94.711075,35
PRESS,5,65.204819,31
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
 ,5,95.0,16
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
 ,5,95.0,47
