text,level,conf,height
,1,-1.0,684
,2,-1.0,53
,3,-1.0,53
,4,-1.0,24
Methods,5,96.651115,18
in,5,95.946976,18
Molecular,5,95.946976,18
Biology,5,0.0,24
,4,-1.0,11
VOLUME,5,95.092255,11
194,5,95.117798,11
,2,-1.0,39
,3,-1.0,39
,4,-1.0,39
Posttranslational,5,92.543655,39
,2,-1.0,91
,3,-1.0,91
,4,-1.0,39
Modifications,5,96.770096,39
,4,-1.0,39
of,5,96.989929,39
Proteins,5,96.617592,38
,2,-1.0,113
,3,-1.0,113
,4,-1.0,22
Tools,5,95.82,21
for,5,95.82,22
Functional,5,96.717957,21
Proteomics,5,96.875992,21
,4,-1.0,25
Edited,5,87.934387,19
by,5,96.900803,25
,4,-1.0,35
Christoph,5,93.284325,35
Kannicht,5,92.987457,27
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
SK,5,55.002693,38
HUMANA,5,55.002693,12
PRESS,5,96.212486,13
,2,-1.0,684
,3,-1.0,684
,4,-1.0,684
 ,5,95.0,684
