text,level,conf,height
,1,-1.0,595
,2,-1.0,25
,3,-1.0,25
,4,-1.0,25
__,5,8.370972,25
Jf,5,31.790459,33
Practical,5,92.231766,12
Gastroenterology,5,96.512222,16
and,5,96.512222,33
Hepatology,5,95.913101,16
,2,-1.0,65
,3,-1.0,65
,4,-1.0,36
Esophagus,5,96.791779,36
,4,-1.0,27
and,5,71.455734,27
Stomach,5,95.694786,27
,2,-1.0,103
,3,-1.0,103
,4,-1.0,103
  ,5,95.0,103
,2,-1.0,33
,3,-1.0,33
,4,-1.0,7
tjroRm-cwnts,5,0.0,7
,4,-1.0,17
Nicholas,5,74.683487,13
J.,5,51.813274,15
Talley,5,81.556976,17
,2,-1.0,27
,3,-1.0,27
,4,-1.0,7
"Eprrons,",5,0.0,7
,4,-1.0,13
Kenneth,5,88.318832,11
R.,5,89.759651,11
"DeVault,",5,94.712357,13
David,5,93.306023,11
E.,5,92.177811,11
Fleischer,5,96.801498,11
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
(@WILEY-,5,0.0,27
BLACKWELL,5,0.0,27
