text,level,conf,height
,1,-1.0,788
,2,-1.0,121
,3,-1.0,121
,4,-1.0,17
Ann,5,96.461891,17
Barrett,5,96.714073,17
,4,-1.0,17
Jane,5,95.741463,17
Dobbs,5,96.55687,17
,4,-1.0,21
Stephen,5,96.656784,21
Morris,5,92.909485,17
,4,-1.0,21
Tom,5,96.865669,17
Roques,5,96.441597,21
,2,-1.0,222
,3,-1.0,222
,4,-1.0,50
Practical,5,96.881447,50
,4,-1.0,61
Radiotherapy,5,96.175926,61
,4,-1.0,62
marclalaliare),5,2.905502,62
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Fourth,5,96.752365,20
Edition,5,96.482498,20
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,106
,3,-1.0,106
,4,-1.0,106
 ,5,95.0,106
,2,-1.0,140
,3,-1.0,153
,4,-1.0,140
6|,5,29.137375,139
©,5,57.719086,136
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,182
,3,-1.0,182
,4,-1.0,182
 ,5,95.0,182
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
