text,level,conf,height
,1,-1.0,648
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
 ,5,95.0,59
,2,-1.0,75
,3,-1.0,75
,4,-1.0,35
Web,5,96.826996,24
Development,5,96.164085,35
with,5,96.842125,24
,4,-1.0,50
lojure,5,92.571106,50
,2,-1.0,46
,3,-1.0,46
,4,-1.0,26
Build,5,96.871941,16
Bulletproof,5,96.690041,20
Web,5,96.855782,16
Apps,5,40.348808,20
oe,5,10.604309,14
«~,5,18.878204,34
,4,-1.0,21
with,5,96.838699,16
Less,5,96.288345,15
Code,5,96.709763,16
:,5,71.679199,2
,2,-1.0,304
,3,-1.0,304
,4,-1.0,304
  ,5,95.0,304
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Dmitri,5,92.926926,17
Sotnikov,5,91.081482,18
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
edited,5,96.519531,11
by,5,96.519531,13
Michael,5,96.74942,11
Swaine,5,96.672585,10
