text,level,conf,height
,1,-1.0,615
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
palgrave,5,90.182541,34
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
macmillan,5,46.794884,10
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,53
,3,-1.0,53
,4,-1.0,25
Precautionary,5,96.528915,24
Risk,5,96.363876,19
,4,-1.0,23
Management,5,96.335976,23
,2,-1.0,28
,3,-1.0,28
,4,-1.0,13
Dealing,5,96.24305,13
with,5,96.975174,10
Catastrophic,5,96.908531,13
Loss,5,94.751671,9
Potentials,5,89.244316,10
in,5,96.4291,10
,4,-1.0,13
"Business,",5,89.278687,12
the,5,96.632729,10
Community,5,95.742851,12
and,5,94.261711,10
Society,5,94.261711,12
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Mark,5,93.260651,12
Jablonowski,5,81.683281,15
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
 ,5,95.0,17
