text,level,conf,height
,1,-1.0,843
,2,-1.0,843
,3,-1.0,843
,4,-1.0,843
 ,5,95.0,843
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
THE,5,92.794205,10
PRENTICE,5,95.326736,10
HALL,5,96.625023,9
SERVICE-ORIENTED,5,96.549477,10
COMPUTING,5,96.931068,10
SERIES,5,96.362709,10
FROM,5,95.91214,10
THOMAS,5,93.207184,10
ERL,5,91.999092,10
88,5,52.545837,33
,2,-1.0,479
,3,-1.0,479
,4,-1.0,479
 ,5,95.0,479
,2,-1.0,47
,3,-1.0,47
,4,-1.0,47
Next,5,96.833389,45
Generation,5,95.618538,46
SOA,5,95.618538,47
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
A,5,84.554855,13
Real-World,5,84.554855,15
Guide,5,96.954277,15
to,5,96.090935,14
Modern,5,96.902786,15
Service-Oriented,5,94.132843,15
Computing,5,96.739815,19
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
#,5,92.609703,27
PRENTICE,5,95.563911,11
,4,-1.0,11
HALL,5,94.855492,11
