text,level,conf,height
,1,-1.0,792
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Miptinwnrapeaicaaegteenet,5,0.0,16
ee”,5,28.867195,6
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Preterm,5,96.324501,17
Birth,5,96.324501,17
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
"Causes,",5,85.862427,14
"Consequences,",5,96.918388,15
and,5,94.824799,12
Prevention,5,94.824799,12
,2,-1.0,29
,3,-1.0,29
,4,-1.0,13
Committee,5,67.040962,10
on,5,94.385818,7
Understanding,5,94.385818,13
Premature,5,92.770943,9
Birth,5,92.770943,10
and,5,96.645966,10
Assuring,5,92.82312,12
Healthy,5,96.236343,13
Outcomes,5,83.501564,9
,4,-1.0,13
Board,5,96.813698,10
on,5,96.858002,7
Health,5,96.746986,10
Sciences,5,96.309372,10
Policy,5,96.079254,13
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
Richard,5,93.158417,10
E.,5,80.01799,9
"Behrman,",5,93.772438,12
Adrienne,5,85.893059,10
Stith,5,96.480499,10
"Butler,",5,96.485847,11
Editors,5,93.396614,10
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
INSTITUTE,5,96.287003,11
OF,5,96.892532,11
MEDICINE,5,91.933044,11
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
seorainepsedu,5,0.0,9
