text,level,conf,height
,1,-1.0,648
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
‘Prevention,5,18.946823,6
and,5,62.167961,6
Management,5,75.677963,8
of,5,75.677963,7
Complications,5,66.887482,9
rom,5,66.887482,7
Gynecologic,5,43.388084,8
Surgery,5,10.367157,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Contents,5,96.60302,11
,2,-1.0,24
,3,-1.0,24
,4,-1.0,8
PrefceSugical,5,7.701721,8
Complains,5,18.792877,8
a,5,16.414017,4
,4,-1.0,8
Moward,5,18.928085,6
Sharp,5,56.43259,8
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
‘Gary,5,40.263939,8
H,5,40.924664,28
Lipscomb,5,70.876122,8
and,5,93.993225,6
Vanessa,5,81.961258,6
M.,5,58.045483,6
Givens,5,69.515266,6
,2,-1.0,81
,3,-1.0,81
,4,-1.0,8
ecrosugery,5,9.064629,28
used,5,70.445786,28
onal,5,65.881439,8
bassin,5,53.905602,6
he,5,30.149666,6
operating,5,30.149666,28
"rom,",5,67.253601,28
buttrenan,5,33.649979,6
,4,-1.0,8
oot,5,64.366776,8
understendby,5,17.045631,8
hose,5,55.072357,28
sign,5,45.643661,8
"adn,",5,45.643661,6
be,5,57.278305,6
piso,5,49.046112,8
eecoau,5,4.174149,28
,4,-1.0,8
(erate,5,0.0,8
mere,5,24.463501,28
completed,5,52.99622,28
tan,5,52.99622,6
base,5,57.012653,6
of,5,60.086647,28
"ae,",5,41.633068,6
Conmen,5,22.49205,6
bel,5,57.082783,6
nth.,5,44.254856,28
,4,-1.0,8
"‘Sistang,",5,0.0,8
sacvesurgery,5,10.662468,8
faa,5,63.018688,6
sn,5,65.92897,5
enormoun,5,12.298538,5
capacty,5,12.298538,8
Tor,5,45.4781,6
pale,5,37.774502,8
yt,5,8.68354,8
,4,-1.0,8
‘nc,5,42.654419,6
neve,5,0.0,8
even,5,73.583611,28
hough,5,42.694302,28
echo,5,5.762482,8
Nas,5,60.89856,28
markedly,5,33.171097,8
reed,5,49.265079,6
the,5,64.727859,28
al,5,67.115189,6
,4,-1.0,8
hood,5,73.892685,6
of,5,51.480618,6
pate!,5,29.868614,8
or,5,51.30162,5
surgeon,5,3.540108,7
"mses,",5,55.886517,7
Ths,5,62.61734,6
il,5,69.829582,6
tended,5,46.701084,6
to,5,46.701084,5
educste,5,22.910889,6
he,5,69.285767,6
,4,-1.0,8
Cioican,5,0.0,6
regarding,5,43.30957,8
the,5,57.724243,6
bans,5,57.724243,6
of,5,61.298813,6
lecosugery,5,0.0,8
ane,5,50.05405,6
provide,5,50.05405,8
an,5,62.624763,5
expanation,5,46.172363,7
,4,-1.0,8
‘ntow,5,0.0,6
ies,5,25.701912,7
may,5,60.176804,7
occur,5,55.50811,5
a5,5,55.50811,5
wal,5,64.85778,6
as,5,54.890671,5
Mow,5,44.754143,6
they,5,58.88678,8
may,5,59.645382,7
be,5,68.096352,6
proven,5,37.596394,7
,2,-1.0,81
,3,-1.0,81
,4,-1.0,8
Prevention,5,70.946815,28
"Diagnosis,",5,51.171436,28
andrestment,5,38.440136,8
of,5,71.195198,28
Gynecologic,5,37.481304,8
Surgical,5,60.929302,28
Stelnfctins,5,0.170227,6
PA,5,5.476837,6
,4,-1.0,8
‘Gnenath,5,0.0,6
B,5,83.335876,6
Lazenby,5,66.035339,8
and,5,66.035339,6
David,5,64.432297,6
E.,5,58.977249,6
Soper,5,63.725677,8
,4,-1.0,8
‘Surgical,5,71.976837,8
ste,5,65.286667,6
necon,5,32.540802,28
(SS,5,41.242599,28
have,5,31.963913,6
a,5,60.304722,5
sinleat,5,8.991211,8
tec,5,51.59071,6
on,5,62.379536,28
patient,5,65.22126,7
care,5,65.863564,5
sn,5,65.863564,6
,4,-1.0,8
“ert,5,28.730354,6
measures,5,45.864491,5
nla,5,0.0,8
"astmiobiprophyl,wheh",5,20.304184,8
derease,5,34.165604,28
the,5,62.260098,28
,4,-1.0,8
[eidence,5,10.784271,28
tecion,5,6.407402,6
Tis,5,65.92099,6
rcs,5,32.102562,6
revewa,5,17.439041,8
the,5,64.02404,28
agnosis,5,26.28791,8
snd,5,58.075378,6
eaten,5,27.467186,6
,4,-1.0,8
ol,5,47.986885,6
gnecotge,5,1.620247,8
"Sst,",5,49.39669,6
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
cing,5,14.961029,8
Major,5,44.223976,28
esl,5,63.98085,28
jury,5,29.197418,28
During,5,52.706318,28
Laparoscopic,5,52.03978,8
srumant,5,25.265694,6
insertion,5,59.039883,6
Py,5,17.72612,6
,2,-1.0,118
,3,-1.0,118
,4,-1.0,16
Stepan,5,13.395767,16
Fats,5,46.717754,7
Kathrine,5,54.515907,16
Rosa,5,0.0,16
Mego,5,12.211418,8
ilo,5,41.241459,6
,4,-1.0,8
Major,5,39.554054,8
essl,5,30.805779,6
nuts,5,37.600708,7
du,5,47.339653,8
laparoscopy,5,56.910851,8
most,5,75.405998,6
commonly,5,58.174751,8
ccc,5,0.0,5
