text,level,conf,height
,1,-1.0,1100
,2,-1.0,61
,3,-1.0,61
,4,-1.0,61
Ingrid,5,93.272148,51
Kreissig,5,85.924553,51
Editor,5,96.771393,61
,2,-1.0,138
,3,-1.0,138
,4,-1.0,138
;,5,8.303444,48
a,5,35.881798,24
-,5,2.101532,21
—,5,35.176285,138
,2,-1.0,183
,3,-1.0,183
,4,-1.0,62
  ,5,95.0,62
,4,-1.0,121
  ,5,95.0,121
,2,-1.0,246
,3,-1.0,246
,4,-1.0,79
Primary,5,96.397278,79
,4,-1.0,62
Retinal,5,96.299316,62
Detachment,5,96.391357,62
,4,-1.0,83
Options,5,96.541092,80
for,5,96.854546,67
Repair,5,96.868484,80
,2,-1.0,67
,3,-1.0,67
,4,-1.0,67
G),5,0.0,66
Springer,5,96.61792,53
