text,level,conf,height
,1,-1.0,678
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,678
,3,-1.0,678
,4,-1.0,678
 ,5,95.0,678
,2,-1.0,56
,3,-1.0,56
,4,-1.0,56
Yt),5,26.655106,56
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
©,5,54.778816,15
,2,-1.0,135
,3,-1.0,135
,4,-1.0,41
Principles,5,96.469688,40
of,5,96.917274,31
,4,-1.0,40
Experimental,5,96.16082,40
,4,-1.0,40
Psychopathology,5,96.634689,40
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Essays,5,90.023865,14
in,5,96.528427,28
Honor,5,96.528427,6
of,5,96.939606,28
Brendan,5,96.263031,12
A.,5,92.079445,12
Maber,5,92.079445,13
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Fated,5,46.130604,10
by,5,89.175705,9
Mark,5,96.725746,13
"BE,",5,14.235657,13
Lenzenweger,5,90.869019,17
and,5,64.358101,34
Jill,5,64.358101,15
M.,5,82.733627,12
Hooley,5,91.894363,12
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,678
,3,-1.0,678
,4,-1.0,678
 ,5,95.0,678
