text,level,conf,height
,1,-1.0,716
,2,-1.0,112
,3,-1.0,112
,4,-1.0,112
  ,5,95.0,112
,2,-1.0,53
,3,-1.0,53
,4,-1.0,26
Prognostic,5,95.104385,26
and,5,96.258034,20
Predictive,5,95.820045,20
,4,-1.0,20
Factors,5,96.194702,20
in,5,96.194702,20
Breast,5,96.373581,20
Cancer,5,96.814941,20
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
2nd,5,96.021698,16
EDITION,5,96.021698,13
,2,-1.0,33
,3,-1.0,33
,4,-1.0,8
EDITED,5,95.757919,8
BY,5,95.757919,8
,4,-1.0,16
Rosemary,5,96.725143,15
A,5,94.032173,12
Walker,5,94.032173,13
+,5,66.133331,4
Alastair,5,92.9543,13
M,5,22.403061,12
Thompson,5,22.403061,16
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
informa,5,96.463676,17
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
healthcare,5,62.601017,8
