text,level,conf,height
,1,-1.0,755
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
MOLECULAR,5,96.756752,9
BIOLOGY,5,95.598015,9
INTELLIGENCE,5,95.598015,10
UNIT,5,96.843727,10
12,5,96.951263,9
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Wolfgang,5,82.422691,15
Hilt,5,96.849609,11
and,5,96.849609,11
Dieter,5,93.298309,11
H.,5,92.964455,11
Wolf,5,96.749016,11
,2,-1.0,68
,3,-1.0,68
,4,-1.0,24
Proteasomes:,5,91.777657,22
The,5,96.92244,24
World,5,97.009872,24
,4,-1.0,32
of,5,96.711266,23
Regulatory,5,96.566597,32
Proteolysis,5,96.598587,31
,2,-1.0,340
,3,-1.0,340
,4,-1.0,340
 ,5,95.0,340
,2,-1.0,25
,3,-1.0,35
,4,-1.0,18
ILANDES|,5,85.098495,18
,4,-1.0,14
IEUREKAH..CO,5,48.136856,14
