text,level,conf,height
,1,-1.0,842
,2,-1.0,41
,3,-1.0,41
,4,-1.0,19
Protein,5,96.916733,14
Structure:,5,94.148178,15
"Geometry,",5,94.148178,19
Topology,5,96.814957,18
and,5,96.804626,14
,4,-1.0,16
Classification,5,91.578865,16
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
  ,5,95.0,13
,2,-1.0,31
,3,-1.0,31
,4,-1.0,12
William,5,92.101875,10
R.,5,86.260269,10
"Taylor,",5,96.305832,10
Alex,5,93.028412,10
C.,5,85.165817,30
W.,5,88.562927,10
"May,",5,96.187202,12
,4,-1.0,16
Nigel,5,93.269028,13
P.,5,92.176247,10
Brown!,5,53.795509,13
and,5,95.332085,10
Andras,5,67.367126,10
Aszédi!,5,63.237053,13
,2,-1.0,49
,3,-1.0,49
,4,-1.0,13
Division,5,96.811348,10
of,5,96.873825,10
Mathematical,5,92.429123,10
"Biology,",5,96.749054,13
,4,-1.0,10
National,5,92.012863,10
Institute,5,95.728752,10
for,5,95.960175,10
Medical,5,96.481514,10
"Research,",5,96.319908,10
,4,-1.0,13
‘The,5,83.326225,10
"Ridgeway,",5,96.773064,13
Mill,5,96.607285,10
"Hill,",5,95.914787,12
London,5,93.286812,10
NW7,5,91.680664,10
"1AA,",5,80.304657,12
U.K.,5,73.615341,10
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
{,5,53.489342,24
currently,5,95.639175,9
at:,5,94.31871,6
Protein,5,96.802734,8
Design,5,95.857361,10
"Group,",5,90.195564,10
Centro,5,90.195564,8
Nacional,5,96.850861,8
de,5,96.969727,8
"Biotecnologia,",5,94.58297,10
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
  ,5,95.0,14
 ,5,95.0,32
,2,-1.0,44
,3,-1.0,44
,4,-1.0,10
Campus,5,80.159225,10
Universidad,5,62.563374,8
"Autonoma,",5,47.673004,8
"Cantoblanco,",5,88.090889,8
25019,5,82.021362,7
"Madd,",5,33.549942,8
"Spain,",5,64.594505,10
,4,-1.0,13
$,5,10.392998,13
currently,5,57.188156,8
at:,5,57.188156,6
Novartis,5,64.847824,8
Forschungsnstitut,5,54.161217,10
"GonbHl,",5,0.0,8
Brunnerstrasse,5,42.335579,8
"58,",5,60.117668,7
,4,-1.0,8
Ac1285,5,13.736786,8
"Vienna,",5,58.49189,8
Austra,5,58.675838,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
March,5,96.025269,10
"8,",5,95.144051,11
2001,5,95.753235,10
