text,level,conf,height
,1,-1.0,998
,2,-1.0,109
,3,-1.0,109
,4,-1.0,29
Kenneth,5,91.125999,29
B.,5,91.125999,28
Gordon,5,96.206947,29
,4,-1.0,30
Eric,5,92.151993,28
M.,5,91.913414,28
Ruderman,5,95.269958,30
,4,-1.0,29
Editors,5,96.887955,29
,2,-1.0,127
,3,-1.0,127
,4,-1.0,96
Psoriasis,5,0.0,95
and,5,0.0,73
,4,-1.0,35
J,5,76.050858,28
\,5,42.277245,31
,2,-1.0,45
,3,-1.0,45
,4,-1.0,45
Ulid,5,35.996063,43
ala,5,74.924637,23
,2,-1.0,332
,3,-1.0,332
,4,-1.0,288
     ,5,95.0,288
,4,-1.0,44
 ,5,95.0,44
 ,5,95.0,44
,2,-1.0,98
,3,-1.0,98
,4,-1.0,98
  ,5,95.0,98
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
a,5,0.0,8
,2,-1.0,38
,3,-1.0,38
,4,-1.0,38
An,5,94.630447,27
Integrated,5,94.630447,37
Approach,5,95.827026,37
,2,-1.0,52
,3,-1.0,52
,4,-1.0,52
va,5,41.588097,52
Springer,5,96.251572,41
