text,level,conf,height
,1,-1.0,648
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
Psychoanalytic,5,96.08326,42
,2,-1.0,143
,3,-1.0,143
,4,-1.0,41
Understanding,5,96.048691,41
,4,-1.0,31
of,5,96.852768,31
Violence,5,96.100914,31
,4,-1.0,31
and,5,96.263428,31
Suicide,5,96.263428,31
,2,-1.0,70
,3,-1.0,70
,4,-1.0,9
EDITED,5,96.891159,9
BY,5,96.469482,35
,4,-1.0,19
ROSINE,5,91.83963,14
JOZEF,5,92.18734,19
PERELBERG,5,91.47216,14
,4,-1.0,21
LEONARD,5,93.172401,8
SHENGOLD,5,91.414307,21
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
RONALD,5,96.820671,8
BRITTON,5,96.176849,8
,2,-1.0,648
,3,-1.0,648
,4,-1.0,648
 ,5,95.0,648
