text,level,conf,height
,1,-1.0,787
,2,-1.0,67
,3,-1.0,67
,4,-1.0,67
(©),5,57.140942,67
The,5,96.958885,22
Ray,5,96.29361,28
Kurzweil,5,96.874741,22
Reader,5,96.981491,22
,2,-1.0,43
,3,-1.0,43
,4,-1.0,19
A,5,91.855309,15
collection,5,91.855309,15
of,5,96.993065,15
essays,5,96.177933,15
by,5,96.922935,19
Ray,5,96.865921,19
Kurzweil,5,95.90435,15
,4,-1.0,19
published,5,96.638885,19
on,5,91.519348,11
KurzweilAl.net,5,89.369316,15
2001-2003,5,95.226326,15
,2,-1.0,568
,3,-1.0,568
,4,-1.0,568
 ,5,95.0,568
