text,level,conf,height
,1,-1.0,599
,2,-1.0,110
,3,-1.0,110
,4,-1.0,110
 ,5,95.0,110
,2,-1.0,33
,3,-1.0,33
,4,-1.0,13
A,5,94.665108,10
Hands-on,5,94.665108,11
Guide,5,95.863373,13
to,5,96.360176,7
,4,-1.0,14
Subtle,5,96.715126,11
Energy,5,96.671463,13
and,5,96.680656,11
Radical,5,96.818375,11
Change,5,96.96653,9
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Richard,5,97.010849,11
"Bartlett,",5,92.551033,12
"D.C.,",5,92.551033,13
N.D.,5,90.593216,12
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Foreword,5,96.990562,13
by,5,96.024727,16
William,5,95.541626,13
A.,5,96.229019,30
"Tiller,",5,95.392319,13
Ph.D.,5,96.334251,13
