text,level,conf,height
,1,-1.0,792
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
edited,5,96.758759,35
by,5,96.838455,44
simon,5,93.375084,35
barker,5,93.375084,35
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
and,5,95.646996,35
hilary,5,95.646996,43
hinds,5,34.552399,35
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
,2,-1.0,49
,3,-1.0,49
,4,-1.0,26
Also,5,96.729637,21
available,5,96.602272,21
as,5,96.315048,16
a,5,96.324562,16
printed,5,96.06218,26
book,5,96.841415,21
,4,-1.0,18
see,5,96.150017,13
title,5,95.099983,18
verso,5,96.728523,13
for,5,96.557274,18
ISBN,5,96.58976,18
details,5,95.636108,18
