text,level,conf,height
,1,-1.0,648
,2,-1.0,72
,3,-1.0,72
,4,-1.0,41
Engines,5,96.431549,41
,4,-1.0,28
of,5,96.947037,15
the,5,96.901955,15
Imagination,5,91.39534,28
,2,-1.0,34
,3,-1.0,34
,4,-1.0,13
Renaissance,5,96.682861,13
Culture,5,96.056366,13
,4,-1.0,14
and,5,96.011902,13
the,5,96.496002,13
Rise,5,96.643379,13
of,5,96.969383,14
the,5,96.112122,13
Machine,5,96.545654,13
,2,-1.0,68
,3,-1.0,68
,4,-1.0,29
Jonathan,5,96.6362,29
,4,-1.0,31
Sawday,5,92.491234,31
,2,-1.0,604
,3,-1.0,604
,4,-1.0,604
 ,5,95.0,604
