text,level,conf,height
,1,-1.0,612
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,28
,3,-1.0,28
,4,-1.0,28
SHAKESPEARE’S,5,88.362503,28
,2,-1.0,64
,3,-1.0,64
,4,-1.0,64
WEBS,5,96.228836,85
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
ARTHUR,5,92.716194,13
EF.,5,66.734207,13
KINNEY,5,95.388329,13
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Routledge,5,96.722572,14
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Also,5,96.598747,15
available,5,95.98851,15
as,5,96.922119,11
a,5,95.891884,11
printed,5,96.267563,19
book,5,96.8759,15
,2,-1.0,59
,3,-1.0,59
,4,-1.0,59
 ,5,95.0,59
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
see,5,94.656425,9
title,5,96.610069,13
verso,5,97.00576,9
for,5,96.992432,13
ISBN,5,96.742981,13
details,5,96.42244,13
