text,level,conf,height
,1,-1.0,681
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Studies,5,96.494873,13
in,5,96.494873,12
Computational,5,96.319832,17
Intelligence,5,93.149994,17
527,5,92.788284,12
,2,-1.0,110
,3,-1.0,21
,4,-1.0,21
Fabrice,5,96.868195,21
Guillet,5,96.531372,20
,3,-1.0,20
,4,-1.0,20
Bruno,5,95.183083,20
Pinaud,5,95.183083,19
,3,-1.0,21
,4,-1.0,21
Gilles,5,90.488335,21
Venturini,5,96.241066,19
,3,-1.0,26
,4,-1.0,26
Djamel,5,90.293976,25
Abdelkader,5,91.153023,20
Zighed,5,90.520454,25
Editors,5,90.520454,20
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
,2,-1.0,613
,3,-1.0,613
,4,-1.0,613
 ,5,95.0,613
,2,-1.0,148
,3,-1.0,148
,4,-1.0,37
Advances,5,96.099487,37
in,5,96.421532,35
,4,-1.0,48
Knowledge,5,96.573135,48
Discovery,5,96.903709,48
,4,-1.0,48
and,5,96.706696,37
Management,5,96.664459,47
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
Volume,5,95.737755,19
4,5,95.809265,33
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
D,5,52.106049,28
Springer,5,96.787262,22
