text,level,conf,height
,1,-1.0,576
,2,-1.0,576
,3,-1.0,576
,4,-1.0,249
     ,5,95.0,249
,4,-1.0,327
 ,5,95.0,327
,2,-1.0,23
,3,-1.0,23
,4,-1.0,23
Kimberly,5,96.406921,23
A.,5,83.7491,18
Sackheim,5,83.7491,18
Editor,5,92.113968,18
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
  ,5,95.0,49
,2,-1.0,97
,3,-1.0,97
,4,-1.0,25
Rehab,5,96.741859,25
Clinical,5,96.361084,25
,4,-1.0,25
Pocket,5,96.59343,25
Guide,5,96.477875,25
,4,-1.0,25
Rehabilitation,5,95.946449,25
Medicine,5,96.149384,25
,2,-1.0,37
,3,-1.0,37
,4,-1.0,37
ra),5,42.676716,37
Springer,5,96.985718,31
