text,level,conf,height
,1,-1.0,667
,2,-1.0,409
,3,-1.0,409
,4,-1.0,409
 ,5,95.0,409
,2,-1.0,29
,3,-1.0,29
,4,-1.0,17
4,5,0.0,9
—,5,20.582504,15
,4,-1.0,17
Ohe,5,35.902374,12
World,5,78.251694,17
Atchaeology,5,43.762745,17
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
mA,5,28.775093,12
,2,-1.0,54
,3,-1.0,54
,4,-1.0,26
Daniela-,5,0.0,34
Hofmann,5,0.0,20
,4,-1.0,25
Jessica,5,94.181641,19
Smyth,5,92.834587,25
“Editors,5,41.320957,19
,2,-1.0,166
,3,-1.0,166
,4,-1.0,54
Tracking,5,96.945328,54
the,5,96.916878,42
,4,-1.0,42
Neolithic,5,96.846085,42
House,5,95.801155,40
in,5,96.606506,40
,4,-1.0,52
Europe,5,96.586693,52
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
"Sedentism,",5,92.310776,22
"Architecture,",5,95.001076,22
and,5,94.20047,19
Practice,5,96.931305,19
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
a,5,29.254028,28
Springer,5,96.974808,23
