text,level,conf,height
,1,-1.0,612
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
‘BOOK,5,70.089256,28
1!,5,51.928844,28
OF,5,56.682549,28
THE,5,96.6726,28
EARTH,5,94.289101,28
LIFE,5,65.498734,28
SERIES,5,81.900787,28
,2,-1.0,28
,3,-1.0,28
,4,-1.0,17
Sanaya,5,92.778885,17
Roman,5,96.901291,14
,4,-1.0,8
(CHANNEL,5,25.381149,8
FOR,5,96.802994,8
ORIN,5,96.481804,8
,2,-1.0,21
,3,-1.0,21
,4,-1.0,21
Th,5,81.785973,18
all,5,93.513367,12
of,5,96.905067,14
you,5,96.453247,11
discovering,5,96.449287,15
,2,-1.0,80
,3,-1.0,80
,4,-1.0,66
Ber,5,75.619888,66
sonal,5,96.342522,65
R,5,69.170547,49
ower,5,86.940758,26
,4,-1.0,14
the,5,96.765541,10
oneness,5,96.765541,7
of,5,96.972549,14
the,5,96.713783,11
whole,5,96.495651,11
,2,-1.0,36
,3,-1.0,36
,4,-1.0,36
and,5,86.483162,11
the,5,96.893913,11
wholeness,5,85.788071,12
of,5,96.865974,14
the,5,96.865974,11
one.,5,88.748611,7
oug),5,57.314331,36
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Wwayreness,5,18.829865,26
,2,-1.0,62
,3,-1.0,62
,4,-1.0,10
HOW,5,96.593262,10
TO,5,96.497551,10
USE,5,96.727463,10
THE,5,96.727463,10
UNSEEN,5,95.452759,10
,4,-1.0,9
AND,5,79.484924,9
HIGHER,5,95.004745,9
ENERGIES,5,96.532616,9
,4,-1.0,11
OF,5,89.40313,10
THE,5,96.35495,9
UNIVERSE,5,95.856888,10
FOR,5,95.856888,10
SPIRITUAL,5,96.588219,9
,4,-1.0,11
GROWTH,5,93.790344,10
AND,5,96.813095,10
PERSONAL,5,96.813095,10
TRANSFORMATION,5,81.407661,11
,2,-1.0,28
,3,-1.0,28
,4,-1.0,12
HJ,5,81.518288,12
Kramer,5,89.726974,28
Inc,5,89.857582,9
,4,-1.0,10
"Tiburon,",5,73.355606,9
California,5,84.11808,9
,2,-1.0,6
,3,-1.0,6
,4,-1.0,6
 ,5,95.0,6
