text,level,conf,height
,1,-1.0,689
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
CHAPTER,5,96.27697,10
1,5,94.634644,9
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Science,5,96.543182,17
and,5,96.993752,17
the,5,96.337387,17
Cinema,5,96.337387,17
,2,-1.0,257
,3,-1.0,9
,4,-1.0,9
50TH,5,0.342438,5
MOGRAMUCAL,5,17.007584,5
FES,5,57.473473,5
ofthe,5,63.922829,7
New,5,96.69104,7
York,5,75.292664,7
Academy,5,84.555046,9
of,5,92.303734,7
,3,-1.0,122
,4,-1.0,10
"Medicine,",5,53.426949,8
sharing,5,53.426949,10
2,5,74.780563,5
page,5,72.157501,7
with,5,72.157501,8
news,5,89.913506,5
ents,5,12.400681,6
documenting,5,73.396698,10
,4,-1.0,9
French,5,61.540649,7
cin,5,61.540649,7
to,5,85.689568,5
international,5,22.184166,7
alway,5,31.050049,9
speed,5,53.994793,9
and,5,53.994793,7
ai,5,65.268303,28
light,5,65.268303,9
"records,",5,59.767464,8
appear,5,56.131817,7
,4,-1.0,10
1954,5,50.787983,7
obituary,5,50.787983,10
for,5,72.962799,28
Auguste,5,72.962799,28
"Lumiére,pararch",5,28.337814,10
ofthe,5,79.78511,8
"cinema.""",5,67.765808,5
The,5,77.371582,8
appear,5,57.388325,7
,4,-1.0,10
ance,5,83.516426,5
of,5,83.516426,7
Lumiée’s,5,0.0,7
obituary,5,27.679245,9
among,5,88.37867,8
thee,5,75.237022,7
items,5,66.809433,5
16,5,53.017044,5
not,5,82.134056,5
suprising,5,50.1157,8
The,5,64.294449,7
,4,-1.0,10
"‘Gingmatographe,",5,10.278183,10
an,5,71.314117,5
inarumene,5,52.774437,6
for,5,69.887024,8
the,5,69.887024,8
recording,5,76.167084,10
and,5,51.784168,8
projection,5,51.784168,8
of,5,74.866348,28
living,5,58.39595,10
,4,-1.0,9
‘mation,5,26.969414,5
invented,5,77.755478,7
by,5,85.894356,9
Lumiére,5,39.411171,7
and,5,86.086693,7
his,5,80.581589,28
brother,5,67.203796,28
Lois,5,68.886078,7
in,5,68.886078,5
"1495,",5,71.320831,8
ceresinly,5,0.0,28
would,5,85.748505,28
,4,-1.0,11
teem,5,80.072983,5
t0,5,57.030735,5
deere,5,72.160912,8
+,5,51.622677,4
place,5,63.077938,10
alongside,5,5.264114,10
these,5,45.879021,7
technologies,5,60.567749,10
of,5,86.963623,7
movement?,5,86.954613,8
,4,-1.0,9
"However,",5,57.188599,7
che,5,58.117706,7
obituarst,5,27.229141,7
barely,5,54.208443,9
notes,5,54.208443,6
Lumite'srepuation,5,41.186501,9
a,5,88.643982,5
founder,5,64.665817,7
of,5,28.552032,7
,4,-1.0,10
the,5,82.712883,7
"cinema,",5,51.071671,5
"Instead,",5,51.071671,8
he,5,53.185226,7
extol,5,53.185226,7
hs,5,49.893196,7
near-long,5,8.646202,28
commitment,5,52.72501,28
to,5,67.462517,5
medic,5,54.066273,7
bal,5,53.18689,7
,4,-1.0,10
"04,",5,20.865906,7
"pharmacology,",5,58.030338,10
and,5,44.951195,7
experimental,5,44.951195,9
physiology.,5,50.788925,9
,3,-1.0,120
,4,-1.0,10
‘Alter,5,45.986588,7
1900,5,82.920982,7
Lamiére’s,5,0.0,28
"work,",5,87.47113,28
nd,5,63.815292,7
much,5,70.483246,7
of,5,75.962418,28
the,5,75.962418,7
production,5,46.365211,10
of,5,45.924301,28
dhe,5,45.924301,28
Lame,5,42.764549,7
,4,-1.0,10
lint,5,55.714272,9
n,5,70.812225,5
"yon,",5,41.672802,9
eames,5,41.672802,8
foward,5,56.235065,8
medical,5,54.118671,8
rxarch,5,50.821209,8
and,5,89.083267,7
"prodction,",5,42.598183,10
The,5,96.675972,8
obit,5,53.155434,8
,4,-1.0,9
ns,5,43.042454,5
snges,5,8.780487,9
ov,5,63.699333,5
s,5,69.505783,5
Lume’,5,20.705002,7
most,5,58.652618,6
significant,5,51.782642,9
accomplishment,5,59.420242,9
not,5,59.420242,5
his,5,59.442986,7
work,5,83.846596,7
,4,-1.0,9
fn,5,78.662163,5
the,5,82.01889,7
cinema,5,55.037567,5
But,5,70.714066,7
his,5,70.714066,7
boeatry,5,36.937096,9
research,5,54.074802,7
on,5,91.693695,5
tbereaoss,5,29.218231,7
and,5,76.817001,7
"ance,",5,57.215225,5
di,5,17.904221,7
,4,-1.0,7
‘mes,5,31.507889,4
thar,5,54.549137,7
contin,5,8.869011,5
ta,5,54.622959,5
elide,5,36.766304,7
scene,5,56.326408,7
contol,5,59.944374,7
even,5,59.944374,5
"ao,",5,57.047539,5
atthe,5,77.380264,7
er,5,57.412411,7
ofthe,5,57.412411,7
,4,-1.0,10
‘sense,5,26.877319,8
"entry,",5,64.829918,8
By,5,50.315281,9
the,5,50.315281,7
endo,5,78.478737,8
"hii,",5,65.184753,8
Lamire,5,36.748573,8
belived,5,33.89135,28
ecient,5,45.960217,28
mesial,5,64.078445,8
,4,-1.0,9
research,5,67.8703,7
to,5,68.234238,5
be,5,69.346756,7
one,5,76.576469,5
