text,level,conf,height
,1,-1.0,842
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
Ayahuasca,5,92.453537,43
Visions,5,96.767555,34
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
by,5,96.354477,20
Pablo,5,93.298386,15
Amaringo,5,91.019455,20
,2,-1.0,75
,3,-1.0,75
,4,-1.0,13
Every,5,96.643204,13
"tree,",5,96.87648,11
every,5,94.463066,10
"plant,",5,96.838982,13
has,5,96.661835,10
a,5,96.125366,7
spirit.,5,94.528946,13
People,5,96.802361,13
may,5,96.635727,10
say,5,96.93544,10
that,5,96.929085,10
the,5,96.905266,10
plant,5,96.775681,13
has,5,95.451935,10
no,5,95.451935,7
mind.,5,94.047485,10
I,5,91.9123,10
tell,5,91.9123,10
them,5,96.957657,10
that,5,89.622391,10
,4,-1.0,13
the,5,96.243782,10
plant,5,96.752754,13
is,5,96.752754,29
alive,5,93.304062,7
&,5,93.297005,10
conscious.,5,95.854965,10
A,5,83.382172,9
plant,5,83.382172,13
may,5,96.3666,10
not,5,96.780907,8
"talk,",5,96.493988,12
but,5,96.131432,10
there,5,96.868874,10
is,5,95.497635,10
a,5,95.931969,7
spirit,5,96.922546,13
in,5,96.819984,10
it,5,96.819984,10
that,5,96.978371,10
is,5,91.086655,10
conscio,5,81.176331,10
,4,-1.0,13
that,5,95.672668,10
sees,5,96.798203,7
"everything,",5,95.303703,13
which,5,93.880753,10
is,5,96.719826,10
the,5,96.90538,10
soul,5,96.897652,10
of,5,96.526329,10
the,5,91.553574,10
"plant,",5,91.553574,13
its,5,96.556564,10
"essence,",5,57.506607,9
what,5,95.72403,10
makes,5,95.72403,10
it,5,96.817955,10
alive.,5,95.618538,10
The,5,96.929245,10
channels,5,85.224655,10
,4,-1.0,13
through,5,96.007385,13
which,5,96.664772,7
the,5,96.664772,10
water,5,93.287384,9
&,5,93.245972,10
sap,5,96.82692,10
move,5,88.115234,7
are,5,96.938904,7
the,5,96.899902,10
veins,5,96.405472,10
of,5,96.405472,10
the,5,96.475166,10
spi,5,96.310516,10
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,10
 ,5,95.0,7
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
 ,5,95.0,10
 ,5,95.0,10
,2,-1.0,444
,3,-1.0,444
,4,-1.0,444
 ,5,95.0,444
