text,level,conf,height
,1,-1.0,750
,2,-1.0,320
,3,-1.0,320
,4,-1.0,320
  ,5,95.0,320
,2,-1.0,186
,3,-1.0,186
,4,-1.0,69
SHARPE’S,5,15.555115,69
,4,-1.0,108
TIG],5,82.863937,108
,2,-1.0,250
,3,-1.0,252
,4,-1.0,40
%,5,0.0,10
ae,5,31.126694,21
Ss,5,24.447144,39
ae,5,22.176758,30
,4,-1.0,33
»,5,55.83168,3
Gs,5,29.406326,7
ash,5,21.966331,13
|,5,11.215355,33
,4,-1.0,20
i,5,39.197445,2
i,5,30.784714,3
ain,5,39.825829,10
i.,5,6.439011,18
SAY,5,39.526833,20
se,5,12.63208,19
,4,-1.0,20
Oe,5,38.236103,13
ea,5,11.403282,15
SD,5,32.258713,20
4,5,50.307446,6
,4,-1.0,29
ie,5,46.570469,17
|,5,34.248093,30
hate,5,22.240501,16
Sy,5,28.710037,18
],5,26.117249,24
ee,5,34.911682,18
,4,-1.0,49
5,5,63.589851,15
i,5,38.629566,6
ee,5,0.214302,49
yy,5,4.633713,23
se,5,52.467197,25
,4,-1.0,19
&,5,69.882156,17
e,5,0.0,2
Va,5,28.662163,13
~~,5,43.720989,11
,4,-1.0,39
.,5,50.373322,3
fl,5,60.749058,35
:,5,64.809143,2
a,5,28.392426,29
,4,-1.0,45
\o,5,0.0,21
eo,5,18.153976,33
a,5,32.434402,40
eS,5,37.677902,35
,2,-1.0,154
,3,-1.0,154
,4,-1.0,72
BERNARD,5,96.31778,72
,4,-1.0,73
CORNWELL,5,96.530365,73
,2,-1.0,471
,3,-1.0,471
,4,-1.0,471
 ,5,95.0,471
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
