text,level,conf,height
,1,-1.0,662
,2,-1.0,662
,3,-1.0,662
,4,-1.0,662
 ,5,95.0,662
,2,-1.0,89
,3,-1.0,89
,4,-1.0,89
Site,5,96.958855,89
,2,-1.0,165
,3,-1.0,165
,4,-1.0,165
Engineering,5,91.729111,165
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
HOW,5,96.846352,10
GOOGLE,5,95.89727,10
RUNS,5,93.306168,10
PRODUCTIO!,5,27.688873,10
,2,-1.0,490
,3,-1.0,490
,4,-1.0,490
 ,5,95.0,490
,2,-1.0,44
,3,-1.0,44
,4,-1.0,20
Edited,5,96.412598,16
by,5,97.017349,20
Betsy,5,96.4188,19
"Beyer,",5,96.904686,19
Chris,5,96.947121,16
"Jones,",5,94.714996,17
,4,-1.0,20
Jennifer,5,93.134773,16
Petoff,5,90.429016,16
&,5,90.429016,15
Niall,5,96.870522,16
Richard,5,96.348724,16
Murphy,5,95.977448,20
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,662
,3,-1.0,662
,4,-1.0,662
 ,5,95.0,662
