text,level,conf,height
,1,-1.0,666
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
Lecture,5,92.474777,11
Notes,5,96.822121,11
in,5,95.895561,7
Physics,5,39.486473,15
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
Volume,5,96.383858,9
868,5,96.20594,10
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
Founding,5,81.931015,9
Etors,5,58.871887,7
,2,-1.0,43
,3,-1.0,43
,4,-1.0,9
W.,5,29.271889,7
Beiglbck,5,12.949234,9
,4,-1.0,7
Lene,5,27.356926,7
,4,-1.0,9
K,5,89.956062,7
Hepp,5,90.331299,9
,4,-1.0,7
HL,5,48.267494,7
Welder,5,11.168358,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
atonal,5,11.784637,7
Board,5,63.145306,28
,2,-1.0,200
,3,-1.0,20
,4,-1.0,9
BG.,5,18.596039,7
Engle.,5,64.242439,9
"Singapore,",5,61.373413,9
Singapore,5,61.373413,9
,4,-1.0,8
U.,5,47.174015,7
"Fisch,",5,70.170685,8
"Nie,",5,65.337845,7
France,5,65.337845,7
,3,-1.0,9
,4,-1.0,9
"-Hinggi,",5,0.0,9
Aupsbug.,5,20.287697,9
Germany,5,53.204823,9
,3,-1.0,21
,4,-1.0,9
W.,5,0.0,7
"Hilebrandt,",5,26.61483,7
Garching.,5,73.264275,9
Germany,5,43.087711,9
,4,-1.0,9
"M.Hjor-ensen,",5,0.0,9
"Oslo,",5,80.732582,7
Nora,5,63.029484,9
,3,-1.0,7
,4,-1.0,7
RAL,5,0.0,7
"Jones,",5,66.661736,28
"Shel,",5,29.599854,7
UK,5,78.72863,7
,3,-1.0,9
,4,-1.0,9
HL,5,47.242199,7
von,5,29.901749,5
"Loheysen,",5,0.0,9
"Kartube,",5,29.562523,28
Gemany,5,41.301403,28
,3,-1.0,9
,4,-1.0,9
MLS.,5,63.39959,7
"Loni,",5,0.0,9
"Cambadge,",5,27.876923,9
UK,5,94.872681,7
,3,-1.0,9
,4,-1.0,9
‘MLL,5,58.260975,7
"Mangano,",5,84.088318,9
"Genera,",5,34.352074,7
Swiverland,5,39.052704,7
,3,-1.0,9
,4,-1.0,9
1-8,5,34.047348,7
"Panon,",5,0.0,7
"Lyon,",5,65.901855,9
France,5,65.901855,7
,3,-1.0,8
,4,-1.0,8
"JM,",5,43.79142,7
"Raimond,",5,54.330143,28
"Pari,",5,54.330143,7
France,5,60.503639,7
,3,-1.0,21
,4,-1.0,9
‘A.,5,74.278755,7
"Rubio,",5,74.278755,7
"Donosti,",5,38.325233,7
San,5,62.113018,7
"Sebstin,",5,25.312965,8
Spin,5,67.662498,9
,4,-1.0,9
"M.Salnofs,",5,0.0,7
"Heidelberg,",5,44.928558,9
Germany,5,67.905426,9
,3,-1.0,7
,4,-1.0,7
D.,5,62.759907,7
"Somete,",5,40.2318,7
"Zieh,",5,15.800209,7
Switzeland,5,0.0,7
,3,-1.0,9
,4,-1.0,9
5.,5,38.463879,7
Theisen,5,0.0,8
"Potsdam,",5,37.02562,7
Germany,5,59.421902,9
,3,-1.0,9
,4,-1.0,9
D.,5,54.39267,7
"Volar,",5,13.901871,8
Augsburg.,5,57.297333,9
Germany,5,57.297333,9
,3,-1.0,9
,4,-1.0,9
WW.,5,30.665627,7
"Weise,",5,87.501884,7
"Garching,",5,71.724907,9
Gemany,5,38.019234,9
and,5,55.11837,7
"Trento,",5,55.11837,8
aly,5,14.988647,9
