text,level,conf,height
,1,-1.0,684
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Lifelong,5,95.876549,17
Learning,5,96.086784,16
Book,5,93.513832,32
Series,5,70.595154,32
18,5,70.595154,12
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Neil,5,93.966759,20
Hopkins,5,93.966759,26
,2,-1.0,311
,3,-1.0,130
,4,-1.0,64
Citizenship,5,96.881798,64
and,5,96.745506,51
,4,-1.0,64
Democracy,5,96.343178,64
,3,-1.0,51
,4,-1.0,51
in,5,96.592026,47
Further,5,96.592026,51
,3,-1.0,116
,4,-1.0,51
and,5,96.479889,51
Adult,5,96.653137,51
,4,-1.0,51
Education,5,96.711182,51
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,85.121048,29
Spring,5,70.579514,31
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
er,5,83.245697,10
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
