text,level,conf,height
,1,-1.0,667
,2,-1.0,116
,3,-1.0,116
,4,-1.0,116
 ,5,95.0,116
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
 ,5,95.0,31
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Advances,5,94.227539,12
in,5,93.254158,12
Intelligent,5,93.254158,16
Systems,5,96.473907,15
and,5,96.372208,12
Computing,5,96.328979,16
214,5,96.328979,12
,2,-1.0,81
,3,-1.0,81
,4,-1.0,19
Fuchun,5,93.195656,19
Sun,5,96.980797,19
,4,-1.0,19
Tianrui,5,92.261559,19
Li,5,92.049438,19
,4,-1.0,25
Hongbo,5,91.955963,25
Li,5,84.417191,19
Editors,5,0.0,19
,2,-1.0,166
,3,-1.0,166
,4,-1.0,54
Knowledge,5,96.799461,54
,4,-1.0,52
Engineering,5,96.823418,52
,4,-1.0,54
and,5,96.887444,42
Management,5,96.180305,52
,2,-1.0,99
,3,-1.0,99
,4,-1.0,23
Proceedings,5,96.87941,23
of,5,97.007347,18
the,5,96.996201,18
Seventh,5,95.563225,18
International,5,96.047165,18
,4,-1.0,23
Conference,5,96.923965,18
on,5,96.807541,13
Intelligent,5,96.610474,23
Systems,5,96.825172,23
and,5,96.354637,18
,4,-1.0,23
Knowledge,5,96.671669,23
"Engineering,",5,96.671669,23
"Beijing,",5,96.474655,23
"China,",5,96.935196,21
,4,-1.0,21
Dec,5,95.402176,18
2012,5,93.304626,17
(ISKE,5,90.831139,21
2012),5,96.892471,21
,2,-1.0,202
,3,-1.0,202
,4,-1.0,202
 ,5,95.0,202
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,88.703697,29
Springer,5,95.999237,31
