text,level,conf,height
,1,-1.0,667
,2,-1.0,116
,3,-1.0,116
,4,-1.0,116
 ,5,95.0,116
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
 ,5,95.0,31
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Advances,5,95.193794,12
in,5,87.253967,12
Intelligent,5,87.253967,16
Systems,5,95.738602,15
and,5,95.495399,12
Computing,5,95.495399,16
241,5,95.524803,12
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Barbara,5,96.956879,14
Catania,5,93.116844,14
«,5,66.705635,4
Tania,5,92.958672,14
Cerquitelli,5,92.572151,18
,2,-1.0,78
,3,-1.0,38
,4,-1.0,14
Silvia,5,93.303444,14
Chiusano,5,92.878105,14
«,5,55.554749,4
Giovanna,5,93.13472,14
Guerrini,5,37.53767,14
,4,-1.0,18
Mirko,5,96.930664,14
Kampf,5,48.136528,18
-,5,48.136528,26
Alfons,5,96.821907,18
Kemper,5,94.209969,17
,3,-1.0,38
,4,-1.0,18
Boris,5,96.681671,14
Novikov,5,95.517151,14
+,5,62.796837,26
Themis,5,93.306206,14
Palpanas,5,69.127258,18
,4,-1.0,18
Jaroslav,5,96.326736,14
Pokorny,5,93.070274,18
«,5,33.213646,26
Athena,5,82.813141,18
Vakali,5,82.813141,26
Editors,5,95.128975,14
,2,-1.0,202
,3,-1.0,202
,4,-1.0,202
 ,5,95.0,202
,2,-1.0,79
,3,-1.0,79
,4,-1.0,30
New,5,96.492729,30
Trends,5,96.776878,30
in,5,96.787666,29
Databases,5,96.911705,30
,4,-1.0,40
and,5,96.977341,30
Information,5,95.087906,31
Systems,5,95.087906,39
,2,-1.0,70
,3,-1.0,70
,4,-1.0,16
Selected,5,95.706627,12
Papers,5,96.379181,15
of,5,96.975204,29
the,5,96.318588,13
17th,5,95.719521,12
East,5,95.719521,12
European,5,96.910606,15
Conference,5,96.509666,13
,4,-1.0,16
‘on,5,88.116119,9
Advances,5,95.036293,12
in,5,96.949051,9
Databases,5,96.93914,12
and,5,96.842735,12
Information,5,95.858459,13
Systems,5,93.994476,15
,4,-1.0,16
and,5,96.915047,12
Associated,5,96.212158,12
Satellite,5,96.865341,12
"Events,",5,93.837708,14
"Genoa,",5,92.346733,14
"Italy,",5,88.090576,16
,4,-1.0,15
September,5,93.294418,15
"1—4,",5,76.506943,14
2013,5,96.855736,12
,2,-1.0,34
,3,-1.0,34
,4,-1.0,34
a,5,84.839935,29
Springer,5,96.471664,31
