text,level,conf,height
,1,-1.0,792
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
SPRINGER,5,96.257896,15
BRIEFS,5,96.309853,15
IN,5,96.309853,14
OPTIMIZATION,5,93.473534,15
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
Petros,5,92.403625,23
Xanthop,5,92.403625,29
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
oulos,5,80.627853,24
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
0S,5,90.01828,11
,2,-1.0,130
,3,-1.0,130
,4,-1.0,50
Robust,5,96.72448,50
Data,5,96.996216,50
,4,-1.0,63
Mining,5,96.757233,63
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
9),5,22.977058,43
Springer,5,96.362183,26
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
