text,level,conf,height
,1,-1.0,842
,2,-1.0,72
,3,-1.0,72
,4,-1.0,28
Statistical,5,96.415718,28
Methods,5,96.509277,27
for,5,96.509277,27
,4,-1.0,34
Machine,5,96.482666,27
Learning,5,96.539146,34
,2,-1.0,71
,3,-1.0,71
,4,-1.0,27
Discover,5,96.279228,27
how,5,96.757629,27
to,5,96.414421,25
Transform,5,96.414421,27
Data,5,96.832306,27
,4,-1.0,34
into,5,95.532181,27
Knowledge,5,96.607719,34
with,5,96.616676,26
Python,5,96.817001,34
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
 ,5,95.0,7
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
Jason,5,96.691032,13
Brownlee,5,96.281052,13
,2,-1.0,119
,3,-1.0,119
,4,-1.0,36
MACHINE,5,96.802429,36
,4,-1.0,36
LEARNING,5,96.563911,36
,4,-1.0,35
MASTERY,5,96.829811,35
,2,-1.0,110
,3,-1.0,110
,4,-1.0,110
Ss,5,45.166096,110
,2,-1.0,842
,3,-1.0,842
,4,-1.0,842
 ,5,95.0,842
