text,level,conf,height
,1,-1.0,637
,2,-1.0,224
,3,-1.0,168
,4,-1.0,63
SACRED,5,96.645966,63
,4,-1.0,47
“HERBAL,5,51.655785,47
,4,-1.0,45
HEALING,5,96.072205,45
,3,-1.0,48
,4,-1.0,48
BEERS,5,96.528038,48
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
The,5,94.724525,9
Secrets,5,96.902344,17
of,5,94.763336,10
Ancient,5,96.224564,16
Fermentation,5,96.33606,17
,2,-1.0,56
,3,-1.0,56
,4,-1.0,15
STEPHEN,5,96.330833,15
,4,-1.0,13
HARROD,5,96.483101,13
,4,-1.0,12
BUHNER,5,92.215126,12
,2,-1.0,400
,3,-1.0,400
,4,-1.0,400
 ,5,95.0,400
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,34
,3,-1.0,34
,4,-1.0,12
al,5,32.134476,12
,4,-1.0,22
9,5,46.023994,22
,2,-1.0,31
,3,-1.0,31
,4,-1.0,31
 ,5,95.0,31
,2,-1.0,49
,3,-1.0,49
,4,-1.0,49
 ,5,95.0,49
