text,level,conf,height
,1,-1.0,792
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
ULTIMATE,5,96.674667,7
COMPUTING,5,92.779762,8
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
ULTIMATE,5,95.981819,20
COMPUTING,5,95.844002,20
,2,-1.0,38
,3,-1.0,38
,4,-1.0,13
Biomolecular,5,96.606369,13
Consciousness,5,96.555191,13
,4,-1.0,17
and,5,91.928146,13
NanoTechnology,5,91.928146,17
,2,-1.0,35
,3,-1.0,35
,4,-1.0,8
Billion,5,4.97702,8
scale,5,62.177853,8
activities,5,48.324047,6
in,5,73.18589,5
biomolecular,5,81.085571,8
assemblies,5,83.608322,7
,4,-1.0,10
‘ould,5,64.347572,8
define,5,64.347572,8
lite,5,48.075424,8
"itself,",5,48.075424,8
and,5,60.879211,7
provide,5,60.879211,10
,4,-1.0,10
«frontier,5,42.482777,8
for,5,55.420376,8
the,5,81.318527,7
evolution,5,84.380417,8
of,5,93.361603,7
technology.,5,88.416069,10
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
Stuart,5,93.22419,11
R.,5,92.340996,11
Hameroff,5,87.607986,11
,2,-1.0,47
,3,-1.0,35
,4,-1.0,10
Department,5,65.521103,9
of,5,95.910141,8
Anesthesiology,5,87.327423,9
,4,-1.0,10
College,5,76.79509,10
of,5,96.003807,8
Medicine,5,90.441147,7
,4,-1.0,9
University,5,81.156357,9
of,5,50.071888,7
Arizona,5,86.100105,7
,3,-1.0,9
,4,-1.0,9
"Tueson,",5,85.140785,8
"Arizona,",5,93.137756,8
US.A,5,80.670845,8
,2,-1.0,36
,3,-1.0,36
,4,-1.0,9
{©,5,28.948219,7
Blsevier,5,64.93383,8
Science,5,74.408127,7
Publishers,5,86.979301,7
"B.V.,",5,57.19883,8
1987,5,89.373962,7
,4,-1.0,10
All,5,67.159668,8
Rights,5,86.700958,10
Reserved.,5,61.042168,7
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
ISBN:,5,88.395714,7
0.444,5,58.650303,7
70283,5,92.118332,7
0,5,93.043633,7
,2,-1.0,60
,3,-1.0,60
,4,-1.0,10
In,5,44.760239,7
"2003,",5,81.261406,8
this,5,78.479126,8
electronic,5,78.698257,8
eto,5,0.0,8
was,5,96.369041,5
derived,5,86.546028,8
from,5,80.009521,8
the,5,95.752319,8
original,5,92.941917,10
1987,5,93.778694,7
print,5,85.061562,8
,4,-1.0,9
ition,5,27.316315,7
for,5,90.267166,7
the,5,95.460442,7
use,5,94.870216,5
of,5,94.870216,8
Stuart,5,81.981026,7
R,5,28.107895,7
"Hameroff,",5,28.107895,9
who,5,96.345154,8
retains,5,75.093674,6
electronic,5,29.410675,8
distribution,5,87.17981,7
,4,-1.0,10
Fights.,5,76.464394,10
Apart,5,67.171562,9
from,5,67.171562,8
some,5,96.697227,5
mostly,5,93.29982,7
software-related,5,67.107803,8
formatting,5,71.821175,10
changes,5,90.352631,10
(ot,5,85.054489,8
any,5,93.701714,5
,4,-1.0,10
‘uncauight,5,41.432693,9
scanning,5,76.025696,7
"glitches),",5,81.71698,9
the,5,81.71698,7
main,5,96.902626,5
body,5,96.402527,10
of,5,95.456535,8
this,5,87.066414,8
text,5,84.983871,6
should,5,96.248253,8
be,5,88.626907,8
essentially,5,78.837097,8
,4,-1.0,10
identical,5,40.290279,8
to,5,40.290279,6
the,5,80.5028,8
original,5,76.344948,10
