text,level,conf,height
,1,-1.0,667
,2,-1.0,140
,3,-1.0,140
,4,-1.0,39
Computer,5,30.654251,39
INCIDENT,5,96.166962,39
,4,-1.0,39
RESPONSE,5,96.62294,39
AND,5,96.908508,28
FORENSICS,5,54.691399,39
,4,-1.0,40
TEAM,5,81.312775,39
MANAGEMENT,5,94.799408,40
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
Conducting,5,96.445015,17
a,5,95.615593,10
Successful,5,95.615593,14
Incident,5,96.761917,14
Response,5,95.430855,16
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
Leighton,5,93.298264,18
R.,5,87.696281,15
Johnson,5,95.96106,15
Ill,5,72.248306,15
