text,level,conf,height
,1,-1.0,699
,2,-1.0,128
,3,-1.0,128
,4,-1.0,51
FOUNDATIONS,5,95.323265,51
,4,-1.0,50
OF,5,96.672508,50
NURSING,5,96.471313,50
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
An,5,96.506233,23
Integrated,5,93.330254,33
Approach,5,96.568024,33
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,274
,3,-1.0,274
,4,-1.0,274
 ,5,95.0,274
,2,-1.0,50
,3,-1.0,50
,4,-1.0,20
Edited,5,94.483032,15
by,5,94.483032,20
,4,-1.0,26
Cliff,5,96.849701,20
Evans,5,93.258324,18
&,5,93.258324,18
Emma,5,93.136551,18
Tippins,5,93.136551,24
