text,level,conf,height
,1,-1.0,448
,2,-1.0,440
,3,-1.0,440
,4,-1.0,440
 ,5,95.0,440
,2,-1.0,130
,3,-1.0,74
,4,-1.0,14
The,5,96.716896,14
,4,-1.0,14
Handbook,5,96.349335,14
,4,-1.0,16
of,5,95.950371,16
,3,-1.0,43
,4,-1.0,18
Brain,5,96.474113,13
Theory,5,96.844658,18
,4,-1.0,14
and,5,95.718422,14
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Neural,5,96.880089,14
Networks,5,96.840431,14
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Michael,5,96.82299,14
A.,5,93.21389,14
Arbib,5,93.21389,14
,2,-1.0,12
,3,-1.0,12
,4,-1.0,12
editor,5,92.946022,12
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
second,5,95.773338,10
edition,5,96.80407,10
