text,level,conf,height
,1,-1.0,842
,2,-1.0,35
,3,-1.0,35
,4,-1.0,35
lightSource,5,91.14621,35
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
‘A,5,85.834053,10
Sacred,5,90.221741,10
Geometry,5,93.118454,13
Experience,5,96.478897,13
,2,-1.0,154
,3,-1.0,24
,4,-1.0,11
Introduction,5,92.511566,8
to,5,93.177315,8
Sacred,5,93.177315,9
Geometry,5,95.337395,11
,4,-1.0,9
The,5,96.581062,8
Platonic,5,96.543587,8
Solids,5,96.856499,9
,3,-1.0,11
,4,-1.0,11
The,5,96.954079,8
Elements,5,94.935364,8
of,5,92.255394,8
lightSource,5,90.803848,11
,3,-1.0,9
,4,-1.0,9
The,5,96.954376,8
Golden,5,96.106407,9
Mean,5,96.970253,8
,3,-1.0,11
,4,-1.0,11
Bio-Geometry,5,89.313263,11
,3,-1.0,11
,4,-1.0,11
Geometry,5,91.80883,11
and,5,96.942055,8
Higher,5,93.815735,10
Harmonic,5,96.224007,8
Colors,5,91.670021,9
,3,-1.0,9
,4,-1.0,9
Bio-Sound,5,89.229576,9
,3,-1.0,11
,4,-1.0,11
The,5,96.97052,8
Applications,5,90.365189,10
of,5,93.291565,8
lightSource,5,91.346573,11
,3,-1.0,9
,4,-1.0,9
The,5,96.963913,8
Thirteen,5,93.386528,8
Sacred,5,96.839745,9
Geometries,5,92.691025,9
,3,-1.0,8
,4,-1.0,8
Meditation,5,95.108215,8
and,5,96.68261,8
the,5,96.490585,8
Use,5,96.961189,8
of,5,96.567421,8
Breath,5,96.853699,8
,3,-1.0,9
,4,-1.0,9
How,5,96.345718,8
to,5,96.786903,8
Use,5,96.046745,8
the,5,95.399773,8
Sacred,5,96.85083,9
Geometries,5,96.676521,9
with,5,96.676521,8
Meditation,5,95.713638,8
,2,-1.0,21
,3,-1.0,21
,4,-1.0,9
Bibliography,5,94.391853,9
,4,-1.0,7
Disclaimer,5,91.540924,7
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
The,5,94.413033,7
creators,5,89.764359,7
of,5,95.767281,7
lightSource,5,36.134651,9
,2,-1.0,19
,3,-1.0,19
,4,-1.0,7
ih,5,69.448013,7
Sacred,5,60.528893,4
6,5,75.889755,2
,4,-1.0,10
‘An,5,44.785217,8
interviow,5,57.276615,7
with,5,96.185394,7
Thomas,5,96.839523,8
Morton,5,94.950554,8
in,5,66.39904,6
‘Spit,5,51.619987,10
of,5,60.233246,8
Maat’,5,46.749783,8
Online,5,69.955063,7
Magazine,5,94.329247,10
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
 ,5,95.0,16
,2,-1.0,5
,3,-1.0,5
,4,-1.0,5
 ,5,95.0,5
,2,-1.0,36
,3,-1.0,36
,4,-1.0,17
All,5,95.545448,13
Of,5,95.288307,14
Creation,5,96.067368,14
Is,5,44.316704,14
