text,level,conf,height
,1,-1.0,500
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,19
,3,-1.0,19
,4,-1.0,19
THE,5,96.340103,19
,2,-1.0,83
,3,-1.0,83
,4,-1.0,34
-,5,24.510124,2
SCIENCE,5,70.455116,33
FICTION.,5,39.222168,10
,4,-1.0,39
~,5,23.388931,29
HALLOF,5,88.938957,29
FAME,5,90.581055,39
~,5,0.0,62
,2,-1.0,15
,3,-1.0,15
,4,-1.0,15
VOL.,5,88.496078,15
2-A,5,87.914764,15
:,5,4.721519,2
,2,-1.0,4
,3,-1.0,4
,4,-1.0,4
 ,5,95.0,4
,2,-1.0,169
,3,-1.0,169
,4,-1.0,37
 ,5,95.0,37
,4,-1.0,24
 ,5,95.0,24
,4,-1.0,40
 ,5,95.0,29
  ,5,95.0,40
,4,-1.0,36
  ,5,95.0,36
,4,-1.0,32
  ,5,95.0,32
,2,-1.0,59
,3,-1.0,59
,4,-1.0,20
THE,5,84.40863,10
GREATEST,5,89.227371,20
SCI,5,62.047493,28
,4,-1.0,18
 ALLTIME,5,4.301796,17
CHOSEN,5,94.688156,16
BY,5,94.688156,14
M,5,45.297699,2
,4,-1.0,22
SCIENCE,5,81.964203,33
FICTION,5,94.852737,33
WRITERS,5,94.112381,14
OF,5,96.927582,14
AMERICA,5,95.741722,14
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
 ,5,95.0,30
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
   ,5,95.0,57
,2,-1.0,30
,3,-1.0,30
,4,-1.0,12
‘INTRODUCTION,5,5.799332,11
BY,5,83.048119,11
BEN,5,72.192238,9
BOVA,5,49.703224,9
4,5,89.508003,11
,4,-1.0,16
INCLUDES,5,82.689629,11
STORIES,5,96.889206,11
BY,5,93.925171,11
84,5,52.531898,7
,2,-1.0,80
,3,-1.0,80
,4,-1.0,80
 ,5,95.0,80
,2,-1.0,94
,3,-1.0,94
,4,-1.0,94
 ,5,95.0,94
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
LUNABRIOGED,5,76.984261,7
«,5,48.19503,28
READ,5,96.470032,7
BY,5,93.302155,7
VAROUS,5,90.368469,7
NARRATORS,5,55.813759,7
