text,level,conf,height
,1,-1.0,681
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Thinking,5,96.233376,30
about,5,96.703156,16
,2,-1.0,564
,3,-1.0,564
,4,-1.0,39
 ,5,95.0,39
,4,-1.0,99
 ,5,95.0,99
,4,-1.0,350
   ,5,95.0,350
,4,-1.0,76
  ,5,95.0,76
 ,5,95.0,29
,2,-1.0,63
,3,-1.0,63
,4,-1.0,23
Essays,5,96.317886,19
on,5,91.814186,11
COmplexikyenl,5,0.0,21
970,5,0.0,14
—,5,42.473255,3
2007,5,95.658722,14
,4,-1.0,26
a,5,8.590607,7
4,5,40.863434,11
,2,-1.0,455
,3,-1.0,455
,4,-1.0,455
 ,5,95.0,455
,2,-1.0,37
,3,-1.0,37
,4,-1.0,19
D,5,0.0,3
With,5,89.447968,19
a,5,89.447968,9
Foreword.by,5,39.235901,13
,4,-1.0,15
Paul,5,96.14724,15
Davies,5,96.915421,14
