text,level,conf,height
,1,-1.0,643
,2,-1.0,100
,3,-1.0,100
,4,-1.0,36
ANCIENT,5,96.76738,36
EGYPTIAN,5,96.222099,35
,4,-1.0,35
LITERATURE,5,96.415688,35
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
Volume,5,94.362679,14
Ill:,5,84.069412,14
The,5,96.946915,13
Late,5,94.770912,13
Period,5,96.119423,13
,2,-1.0,135
,3,-1.0,39
,4,-1.0,17
WBA,5,18.514145,13
WY,5,18.514145,28
STAR,5,32.615173,16
Ay,5,32.615173,28
ee,5,52.57235,5
"Ey,",5,47.289429,16
d3al,5,0.0,16
4,5,89.617371,9
Oy,5,48.027042,12
,4,-1.0,36
aise,5,0.0,36
ativan,5,1.553604,27
ee,5,20.227188,23
Lahbaz,5,2.238152,16
,3,-1.0,22
,4,-1.0,22
BS,5,53.118973,16
SpilwsyD,5,0.791901,19
Ul,5,43.344719,15
Blie/s],5,0.0,17
iF,5,23.062332,12
,3,-1.0,78
,4,-1.0,22
CNY,5,43.1744,36
INL,5,5.870483,20
sMYAApu,5,0.0,19
Ss,5,26.671059,36
ZS,5,17.188019,36
F,5,15.408386,17
wang,5,0.0,12
Y,5,0.0,17
,4,-1.0,32
Sf,5,8.756882,32
esheets,5,15.922859,19
YD,5,43.898869,15
aay,5,0.033096,17
eis,5,19.973694,17
,4,-1.0,20
HY,5,2.163147,7
eI,5,0.0,16
®,5,0.0,17
myy,5,38.195072,14
REAL,5,37.647289,19
SP,5,43.383438,30
aMh,5,0.0,30
4,5,75.096283,30
,4,-1.0,23
“lle,5,10.448593,13
43%,5,47.004951,15
6,5,22.723328,10
bw,5,23.892136,15
noe,5,20.860214,32
Phe,5,0.0,17
024,5,0.0,32
nas,5,29.823563,16
WH,5,22.318092,32
,2,-1.0,120
,3,-1.0,120
,4,-1.0,22
lle,5,44.672905,12
LWA,5,0.0,22
NS,5,47.558575,30
eis,5,5.956184,14
ANA,5,21.423645,14
SH,5,7.299461,19
37'S,5,11.816177,16
TT,5,24.912964,30
,4,-1.0,20
NW,5,24.14537,15
ay,5,14.39357,14
DOy,5,0.0,14
WOMEN,5,40.078667,29
Y,5,53.175312,14
Aue,5,7.227547,16
eNI,5,15.110779,29
AEs,5,32.804779,14
,4,-1.0,20
YEA,5,35.401871,20
Crk,5,14.733307,29
eye,5,14.733307,16
sv,5,23.54493,16
B®,5,23.54493,29
wal,5,34.407539,16
{Assene,5,0.0,13
E726,5,34.938004,14
,4,-1.0,20
TA,5,31.916046,15
Nei,5,30.570869,16
4,5,75.987686,7
5,5,32.763367,10
SAU,5,2.395279,17
mys,5,20.995651,14
<4nele,5,0.0,28
ys,5,63.888279,14
,4,-1.0,21
Sant,5,31.981834,21
Baw,5,26.584892,29
5,5,30.066643,29
SIAN,5,0.0,21
DYNA,5,39.770969,18
I,5,0.0,8
I6A,5,0.0,12
cone),5,49.478764,29
,4,-1.0,29
Bet,5,14.336899,28
ASS,5,0.0,19
Me,5,45.711308,13
ye,5,0.0,15
dy,5,0.0,15
ters,5,35.562981,29
Spare,5,0.0,29
Yrs,5,42.191719,14
,4,-1.0,15
GBU,5,0.0,11
yi,5,53.143585,31
Loved,5,7.930161,12
Sy,5,42.435459,31
Lo,5,38.459797,15
Nee,5,31.58139,15
ye,5,39.136215,31
"BpBAE,",5,0.0,13
,2,-1.0,263
,3,-1.0,263
,4,-1.0,263
 ,5,95.0,263
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
MIRIAM,5,93.172523,21
LICHTHEIM,5,92.53759,22
