text,level,conf,height
,1,-1.0,432
,2,-1.0,76
,3,-1.0,76
,4,-1.0,16
Walter,5,96.612312,16
Pater,5,96.969818,16
the,5,96.95137,16
,4,-1.0,17
Renaissance,5,96.791748,17
Studies,5,96.953781,17
in,5,96.841705,17
Art,5,96.526581,16
,4,-1.0,22
and,5,96.643944,16
Poetry:,5,95.741135,21
The,5,95.741135,16
1893,5,96.786514,17
Text,5,96.929588,16
,2,-1.0,32
,3,-1.0,32
,4,-1.0,14
DONALD,5,93.187943,12
L.,5,86.951363,12
"HILL,",5,96.453125,14
,4,-1.0,12
Editor,5,96.804634,12
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
UNIVERSITY,5,96.821815,10
OF,5,96.798447,10
CALIFORNIA,5,96.907692,10
PRESS,5,95.736008,10
