text,level,conf,height
,1,-1.0,627
,2,-1.0,49
,3,-1.0,49
,4,-1.0,20
MECHANICS,5,95.918694,20
OF,5,96.585213,19
,4,-1.0,19
MATERIALS,5,94.796356,19
1,5,94.796356,17
,2,-1.0,22
,3,-1.0,22
,4,-1.0,9
An,5,66.663406,8
Introduction,5,95.600571,9
to,5,93.716316,8
the,5,93.716316,8
Mechanics,5,90.850853,8
of,5,96.999542,8
Elastic,5,86.642776,8
and,5,93.530724,8
,4,-1.0,10
Plastic,5,55.774593,9
Deformation,5,96.661224,9
of,5,96.701958,8
Solids,5,96.701958,8
and,5,93.307724,8
Structural,5,95.146774,9
Materials,5,51.843666,9
,2,-1.0,8
,3,-1.0,8
,4,-1.0,8
THIRD,5,96.449409,8
EDITION,5,90.229713,8
,2,-1.0,11
,3,-1.0,11
,4,-1.0,11
E.,5,30.244232,10
J.,5,81.586136,10
HEARN,5,96.725563,11
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
  ,5,95.0,14
,2,-1.0,7
,3,-1.0,7
,4,-1.0,7
"IMechE,",5,29.395889,6
FLO,5,27.005585,6
EFDA,5,0.0,7
,2,-1.0,20
,3,-1.0,20
,4,-1.0,8
Univerty,5,19.093246,8
of,5,84.643997,7
Warick,5,65.792984,7
,4,-1.0,8
Une,5,0.0,7
Kingdom,5,67.798813,8
,2,-1.0,26
,3,-1.0,26
,4,-1.0,11
TERWORT,5,92.133698,11
,4,-1.0,11
EMA,5,93.152328,11
,2,-1.0,24
,3,-1.0,24
,4,-1.0,9
H,5,89.224358,9
,4,-1.0,9
NN,5,91.112709,9
,2,-1.0,9
,3,-1.0,9
,4,-1.0,9
OXFORD,5,76.507996,7
AUCKLAND,5,95.314529,8
BOSTON,5,96.003853,7
JOHANNESBURG,5,93.734825,8
MELBOURNE,5,89.425598,8
NEW,5,5.967415,28
DELHI,5,5.967415,28
