text,level,conf,height
,1,-1.0,627
,2,-1.0,49
,3,-1.0,49
,4,-1.0,20
MECHANICS,5,95.450531,20
OF,5,96.794907,20
,4,-1.0,19
MATERIALS,5,96.261719,19
2,5,96.844528,18
,2,-1.0,23
,3,-1.0,23
,4,-1.0,9
‘An,5,80.973373,9
Introduction,5,96.037621,9
to,5,96.596855,8
the,5,95.019936,9
Mechanics,5,94.931358,9
of,5,95.362854,9
Elastic,5,95.362854,9
and,5,89.068192,9
,4,-1.0,9
Plastic,5,87.432022,9
Deformation,5,96.621117,9
of,5,96.870026,9
Solids,5,96.516716,9
and,5,96.876236,9
Structural,5,96.865028,9
Materials,5,67.098801,9
,2,-1.0,73
,3,-1.0,73
,4,-1.0,9
‘THIRD,5,69.545418,8
EDITION,5,93.619049,9
,4,-1.0,10
E.,5,67.606247,10
J.,5,91.005318,10
HEARN,5,91.772629,10
,4,-1.0,7
"0,",5,30.807434,5
Stig),5,0.0,7
"Hot,",5,48.243332,28
Cag:,5,35.084618,7
Fc,5,45.840931,6
Fad,5,52.273106,5
FD,5,37.340721,7
,2,-1.0,19
,3,-1.0,19
,4,-1.0,8
Univers,5,0.460693,6
of,5,73.188026,8
Warnick,5,46.511909,6
,4,-1.0,7
‘Und,5,54.139282,7
Kingdom,5,64.066399,7
