text,level,conf,height
,1,-1.0,666
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Emmett,5,95.871582,12
Dulaney,5,96.838203,15
and,5,96.97847,13
Chuck,5,93.306152,13
Easttom,5,81.935028,12
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
STUDY,5,95.964745,26
GUIDE,5,95.944473,26
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
EXAM,5,93.291084,10
SY0-401,5,50.705334,10
,2,-1.0,41
,3,-1.0,41
,4,-1.0,9
+,5,71.761177,3
Hundreds,5,35.859047,7
of,5,69.171005,7
Practice,5,84.673416,6
Questions,5,85.863876,8
,4,-1.0,7
+,5,91.670357,2
Electronic,5,83.2939,6
Flashcards,5,78.889305,7
,4,-1.0,9
+,5,57.093636,2
Glossary,5,93.204498,8
of,5,93.101349,7
Key,5,86.222748,8
Terms,5,86.222748,6
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
