text,level,conf,height
,1,-1.0,666
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
Join,5,50.281036,9
the,5,50.281036,9
discussion,5,78.859154,9
@,5,92.857628,10
p2p.vro.com,5,18.629822,10
(2),5,70.77359,57
Wrox,5,79.123337,9
Programmer,5,95.916534,11
to,5,96.959175,7
Programmer,5,21.147392,11
,2,-1.0,194
,3,-1.0,194
,4,-1.0,194
 ,5,95.0,194
,2,-1.0,204
,3,-1.0,204
,4,-1.0,13
ease,5,0.0,13
,4,-1.0,32
Programmer’s,5,91.362495,32
Reference,5,96.639885,25
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Rod,5,96.560059,16
Stephens,5,96.19931,20
