text,level,conf,height
,1,-1.0,792
,2,-1.0,158
,3,-1.0,158
,4,-1.0,97
INTRODUCTION,5,96.953529,97
,4,-1.0,48
OPTIMIZATION,5,96.003616,48
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
FOURTH,5,96.349014,13
EDITION,5,95.906357,13
,2,-1.0,56
,3,-1.0,56
,4,-1.0,26
Edwin,5,93.159866,20
K.,5,92.814369,18
P.,5,91.695358,18
Chong,5,96.176308,26
,4,-1.0,24
Stanislaw,5,93.266785,21
H.,5,92.656998,18
Zak,5,96.992058,24
,2,-1.0,792
,3,-1.0,792
,4,-1.0,792
 ,5,95.0,792
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
@,5,77.534775,21
WILEY,5,91.465233,23
aes,5,33.014137,26
