text,level,conf,height
,1,-1.0,666
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
Wiley,5,96.511292,14
Series,5,94.384331,11
in,5,95.691566,11
Systems,5,96.460854,14
Engineering,5,91.866867,43
,4,-1.0,11
and,5,96.907974,11
,2,-1.0,193
,3,-1.0,193
,4,-1.0,125
Site,5,0.0,94
Aas,5,18.14373,76
,4,-1.0,24
Research,5,96.696587,24
and,5,96.807037,24
,4,-1.0,30
Development,5,96.447792,30
in,5,96.417412,16
,4,-1.0,24
Information,5,96.071541,24
,2,-1.0,30
,3,-1.0,30
,4,-1.0,30
Technology,5,96.301094,30
,2,-1.0,474
,3,-1.0,474
,4,-1.0,474
 ,5,95.0,474
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
WILEY,5,96.570488,22
