text,level,conf,height
,1,-1.0,666
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
,2,-1.0,666
,3,-1.0,666
,4,-1.0,217
    ,5,95.0,217
,4,-1.0,449
 ,5,95.0,449
,2,-1.0,33
,3,-1.0,33
,4,-1.0,33
INSIDE,5,95.648895,31
THE,5,96.223198,31
GOVERNMENT,5,96.481392,33
,2,-1.0,95
,3,-1.0,95
,4,-1.0,95
SEDRECY,5,79.051636,64
INDUSTRY,5,52.456375,95
,2,-1.0,545
,3,-1.0,545
,4,-1.0,545
 ,5,95.0,545
,2,-1.0,85
,3,-1.0,85
,4,-1.0,85
WARG,5,61.384075,37
AMBINDER,5,92.986435,85
0.8.,5,46.123497,37
GRADY,5,96.401855,37
