text,level,conf,height
,1,-1.0,691
,2,-1.0,82
,3,-1.0,82
,4,-1.0,41
Engineering,5,95.940178,41
,4,-1.0,34
Innovative,5,95.76561,34
Products,5,96.246613,34
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
A,5,96.497612,20
Practical,5,96.579102,20
Experience,5,96.709915,24
,2,-1.0,29
,3,-1.0,29
,4,-1.0,7
EDITED,5,80.096443,7
BY,5,84.381279,7
,4,-1.0,12
Roger,5,96.381889,28
Woods,5,90.048149,28
*,5,89.790413,5
Karen,5,95.383186,10
Rafferty,5,79.220634,11
*,5,83.293221,5
Julian,5,94.259857,10
Murphy,5,89.286682,11
*,5,85.047333,5
Paul,5,96.405197,10
Hermon,5,95.106827,10
,2,-1.0,18
,3,-1.0,18
,4,-1.0,18
WILEY,5,96.85611,18
