text,level,conf,height
,1,-1.0,783
,2,-1.0,13
,3,-1.0,13
,4,-1.0,13
FOR,5,83.830894,13
,2,-1.0,91
,3,-1.0,91
,4,-1.0,91
Windows,5,96.208618,76
8,5,93.13662,45
DUNMIES,5,75.875969,69
,2,-1.0,46
,3,-1.0,46
,4,-1.0,27
Work,5,96.791817,27
your,5,96.901505,18
,4,-1.0,23
"network,",5,73.765778,23
,2,-1.0,152
,3,-1.0,46
,4,-1.0,41
EAR,5,96.803818,39
ORGANIZE,5,96.378021,29
,4,-1.0,15
YOUR,5,96.277763,15
,3,-1.0,110
,4,-1.0,41
NGS,5,34.422348,25
"PHOTOS,",5,96.797226,29
,4,-1.0,17
"E-MAIL,",5,96.688309,17
,4,-1.0,17
"MUSIC,",5,96.746895,17
,4,-1.0,15
AND,5,95.560486,15
MORE,5,95.560486,15
,2,-1.0,86
,3,-1.0,86
,4,-1.0,86
 ,5,95.0,86
,2,-1.0,48
,3,-1.0,48
,4,-1.0,21
FOLDERS,5,96.267204,21
,4,-1.0,20
and,5,96.338165,16
everything,5,89.6315,20
in6,5,52.239128,15
,2,-1.0,783
,3,-1.0,783
,4,-1.0,783
 ,5,95.0,783
