text,level,conf,height
,1,-1.0,666
,2,-1.0,47
,3,-1.0,47
,4,-1.0,23
>,5,68.516296,23
New,5,92.524574,15
Product,5,96.784187,16
Development,5,96.795059,19
,4,-1.0,16
Essentials,5,92.057182,16
from,5,96.295212,16
the,5,93.273186,16
PDMA,5,91.835899,15
,2,-1.0,57
,3,-1.0,57
,4,-1.0,57
Open,5,96.188354,57
,2,-1.0,46
,3,-1.0,46
,4,-1.0,46
Innovation,5,96.001984,46
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
nt,5,40.427898,26
,2,-1.0,72
,3,-1.0,72
,4,-1.0,14
Charles,5,94.684647,13
Noble,5,94.494972,14
,4,-1.0,17
Serdar,5,87.010529,14
Durmusoglu,5,92.642235,17
,4,-1.0,14
Abbie,5,96.446381,14
Griffin,5,96.720619,14
,2,-1.0,666
,3,-1.0,666
,4,-1.0,666
 ,5,95.0,666
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
 ,5,95.0,26
