text,level,conf,height
,1,-1.0,662
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
leach,5,76.003632,22
Yourself,5,94.342606,29
,2,-1.0,29
,3,-1.0,29
,4,-1.0,29
~,5,88.011414,29
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
AY,5,13.964905,26
5,5,41.198544,43
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
—,5,50.327248,14
,2,-1.0,110
,3,-1.0,110
,4,-1.0,83
Phone,5,95.362457,50
SS:,5,21.561043,71
and,5,96.427986,21
,4,-1.0,50
Phone,5,96.357109,50
5c,5,96.467987,44
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
 ,5,95.0,44
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
—,5,12.904449,44
,2,-1.0,44
,3,-1.0,44
,4,-1.0,44
 ,5,95.0,44
,2,-1.0,358
,3,-1.0,358
,4,-1.0,358
 ,5,95.0,358
