text,level,conf,height
,1,-1.0,648
,2,-1.0,69
,3,-1.0,69
,4,-1.0,33
Wiley,5,94.754196,39
Finance,5,96.795692,12
Series,5,84.832153,39
fl,5,0.0,39
am,5,67.54541,15
ft,5,44.292366,28
(@,5,65.36145,23
,4,-1.0,26
@(,5,33.361908,16
3)@,5,33.361908,26
,2,-1.0,163
,3,-1.0,163
,4,-1.0,163
Socially,5,89.892433,163
,2,-1.0,56
,3,-1.0,56
,4,-1.0,26
Compliant,5,96.868172,26
Social,5,96.586044,20
Media,5,96.294418,20
for,5,95.735031,26
the,5,95.735031,20
,4,-1.0,27
Financial,5,95.935349,20
Industry,5,96.769539,27
,2,-1.0,27
,3,-1.0,27
,4,-1.0,27
hs,5,0.0,27
~,5,0.0,21
,2,-1.0,92
,3,-1.0,92
,4,-1.0,92
 ,5,95.0,92
 ,5,95.0,92
,2,-1.0,22
,3,-1.0,22
,4,-1.0,22
JENNIFER,5,92.417038,21
OPENSHAW,5,92.417038,17
,2,-1.0,16
,3,-1.0,16
,4,-1.0,16
Foreword,5,95.269958,12
by,5,96.862816,16
Jennifer,5,82.020996,15
"Grazel,",5,92.741234,13
LinkedIn,5,93.180168,12
,2,-1.0,42
,3,-1.0,42
,4,-1.0,42
—~),5,14.107826,42
WILEY,5,94.303543,17
,2,-1.0,2
,3,-1.0,2
,4,-1.0,2
 ,5,95.0,2
