text,level,conf,height
,1,-1.0,650
,2,-1.0,252
,3,-1.0,252
,4,-1.0,252
  ,5,95.0,252
,2,-1.0,226
,3,-1.0,174
,4,-1.0,58
o,5,61.16935,16
&,5,0.0,58
,4,-1.0,87
bd,5,55.008297,58
K.,5,92.405174,16
Andefson,5,82.25869,17
6,5,50.845051,37
;,5,0.0,5
P,5,6.458542,31
‘,5,48.015121,50
Qa.,5,79.979477,69
,4,-1.0,62
Visual,5,93.882057,46
~~,5,42.601982,48
,3,-1.0,57
,4,-1.0,57
Data,5,96.693848,43
Mining,5,95.767952,57
,2,-1.0,14
,3,-1.0,14
,4,-1.0,14
THE,5,93.113289,14
VISMINER,5,92.360046,14
"APPROACH,",5,70.338112,14
,2,-1.0,127
,3,-1.0,127
,4,-1.0,127
:,5,36.943405,127
Ey,5,23.571037,127
