text,level,conf,height
,1,-1.0,666
,2,-1.0,126
,3,-1.0,126
,4,-1.0,126
 ,5,95.0,126
,2,-1.0,64
,3,-1.0,64
,4,-1.0,64
Windows,5,96.49128,60
8,5,96.463379,64
,2,-1.0,99
,3,-1.0,99
,4,-1.0,99
SOLE,5,41.835968,99
,2,-1.0,17
,3,-1.0,17
,4,-1.0,17
THE,5,96.334114,15
"COMPREHENSIVE,",5,96.433243,17
TUTORIAL,5,96.79084,15
RESOURCE,5,96.157341,15
,2,-1.0,24
,3,-1.0,24
,4,-1.0,24
ARETE,5,0.0,9
<,5,10.593048,37
[,5,31.726326,24
MASTENMGOETIOS,5,0.0,9
|,5,64.578682,37
DscIveR,5,0.0,37
Wa,5,27.779678,8
YOU,5,48.429848,37
,2,-1.0,10
,3,-1.0,10
,4,-1.0,10
TOOLSANDFEATURES,5,64.938881,9
|,5,70.956993,28
ANDBESTPRACTICES,5,47.676453,9
|,5,52.363583,28
"NEED,",5,70.225021,28
WHEN,5,61.067757,28
YOU,5,61.067757,9
NEO,5,60.971146,9
IT,5,66.278625,28
,2,-1.0,134
,3,-1.0,134
,4,-1.0,134
 ,5,95.0,134
