text,level,conf,height
,1,-1.0,666
,2,-1.0,43
,3,-1.0,43
,4,-1.0,43
 ,5,95.0,43
,2,-1.0,61
,3,-1.0,61
,4,-1.0,61
(>),5,15.30777,61
SECOND,5,96.593384,12
EDITION,5,96.838562,12
,2,-1.0,1
,3,-1.0,1
,4,-1.0,1
 ,5,95.0,1
,2,-1.0,32
,3,-1.0,32
,4,-1.0,32
Professional,5,96.319107,32
,2,-1.0,77
,3,-1.0,77
,4,-1.0,77
WordPress,5,96.650658,77
,2,-1.0,26
,3,-1.0,26
,4,-1.0,26
Design,5,96.848549,26
and,5,96.71711,20
Development,5,95.955269,26
,2,-1.0,20
,3,-1.0,20
,4,-1.0,20
Brad,5,96.524597,17
"Williams,",5,96.596283,20
David,5,93.301018,17
"Damstra,",5,92.19751,19
Hal,5,96.355469,17
Stern,5,96.760826,17
